track_name,artist(s)_name,released_year,released_month,released_day,streams,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%,album_art_url
Dandelions,Ruth B.,2017,4,28,1116995633,61,45,69,2,9,3,https://i.scdn.co/image/ab67616d0000b27397e971f3e53475091dc8d707
Bones,Imagine Dragons,2021,3,11,838079900,77,65,72,2,7,5,https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13
Set Fire to the Rain,Adele,2011,1,1,1163620694,61,47,68,0,13,3,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300
Money Trees,"Kendrick Lamar, Jay Rock",2012,1,1,1093605526,74,37,53,7,21,10,https://i.scdn.co/image/ab67616d0000b273d28d2ebdedb220e479743797
Tak Segampang Itu,Anggi Marito,2022,12,2,179659294,51,18,44,76,11,3,https://i.scdn.co/image/ab67616d0000b2732844c4e4e984ea408ab7fd6f
LAGUNAS,"Jasiel Nu  ez, Peso P",2023,6,22,39058561,77,79,62,33,15,3,
Mine (Taylor's Version),Taylor Swift,2023,7,7,36912123,65,49,78,0,17,4,https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481
Everybody Wants To Rule The World,Tears For Fears,1985,2,17,1205951614,64,54,81,36,11,6,https://i.scdn.co/image/ab67616d0000b27322463d6939fec9e17b2a6235
No Role Modelz,J. Cole,2014,12,9,1791000570,70,47,52,30,6,33,https://i.scdn.co/image/ab67616d0000b273c6e0948bbb0681ff29cdbae8
Tattoo,Loreen,2023,2,25,201660859,55,30,78,24,12,8,https://i.scdn.co/image/ab67616d0000b2732b0ba87db609976eee193bd6
Rara Vez,"Taiu, Milo j",2023,2,8,248088961,84,96,71,18,34,17,https://i.scdn.co/image/ab67616d0000b273d467bed4e6b2a01ea8569100
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Be ",2023,5,12,90839753,82,89,85,4,23,6,https://i.scdn.co/image/ab67616d0000b2732d6016751b8ea5e66e83cd04
august,Taylor Swift,2020,7,24,607123776,51,42,61,53,9,3,https://i.scdn.co/image/ab67616d0000b27395f754318336a07e85ec59bc
LUNA,"Junior H, Peso Pluma",2023,6,22,55842345,75,79,63,33,15,4,
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2023,3,10,211050784,64,31,87,4,8,4,https://i.scdn.co/image/ab67616d0000b273c58e22815048f8dfb1aa8bd0
Nonsense,Sabrina Carpenter,2022,7,15,342897938,74,68,68,3,26,4,https://i.scdn.co/image/ab67616d0000b273700f7bf79c9f063ad0362bdf
Que Vuelvas,"Carin Leon, Grupo Frontera",2022,12,9,2762,49,78,64,19,11,4,https://i.scdn.co/image/ab67616d0000b2735c7336d25ca101fbb0855647
Por las Noches,Peso Pluma,2021,6,11,330346424,81,39,60,31,7,3,https://i.scdn.co/image/ab67616d0000b273427d9aa38866b43ed45f6b0c
Feliz Cumplea  os Fe,Feid,2022,8,19,601863821,87,57,55,10,29,7,https://i.scdn.co/image/ab67616d0000b2737c5d8a34085658fa0897b80f
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",2011,8,16,1953533826,63,88,93,3,10,8,
